Company_name,email,
Four Seasons Hotel Chicago,info@Fourseasons.Com,
Franchise Sports Bar & Grill,info@Groupon.Com,
Classic City Catering,office@Classiccitycatering.Com,
Freshii,info@Freshii.Com,
Garcia's Restaurant,info@Groupon.Com,
Ricardo's Mexican Restaurant,info@Ricardosoflasvegas.Com,
Sababa Mediterranean Grill,info@Sababavegas.Com,
Slanted Porch,staff@Slantedporch.Com,
Coffee Zone,info@Ecoffeezone.Com,
Coffee Zone,Mario@Ecoffeezone.Com,
Steer 'n Stein Restaurant,info@Steernstein.Com,
Gianni's Expreso Deli,info@Gianniscafe.Com,
Grady's Pizza,info@Gradysfunpark.Com,
Stremick's Heritage Foods,info@Stremicksheritagefoods.Com,
Tonopah Brewing Co,FCline@Tonopahbrewing.Com,
Subs N Grub,info@Instagram.Com,
Sugata Japanese Restaurant,info@Sugatajapaneserestaurant.Com,
Sumo Japanese Restaurant,info@Octopusrestaurant.Com,
Sunny Side Cafe,info@Thesunnysidecafe.Com,
Sunrise Deli,info@Sunrisedeli.Net,
Super Taqueria,info@Supertaquerias.Com,
Sur Restaurant,contact@Surcarmel.Com,
Sur Restaurant,Bill@Surcarmel.Com,
Sushi-Gen,info@Sushigen-Dtla.Com,
Ambrosia Diner,info@Pilarinoshospitalitygroup.Com,
Andriaccio's,info@Andriaccios.Com,
Andriaccio's,Nick@Andriaccios.Com,
Antonio's To Go Fairmount Lic,info@Antoniostogo.Com,
Apple Betty,info@Applebettys.Com,
Grange Hall Burger Bar,info@Grangehallburgerbar.Com,
Hawthorne's Backyard,info@Hawthornesbackyard.Com,
Hickory Pit,info@Hickorypitq.Com,
Jerk Modern Jamaican Grill,team@Jerkgrill.Com,
Jerk Modern Jamaican Grill,Dion@Jerkgrill.Com,
Johnny's Red Hots,info@Johnnysredhots.Com,
Kafein,info@Kafein.Com,
Karmabeets Inc,info@Karmabeets.Com,
Kelly's Tavern,info@Kellystavern.Com,
Kitchen,gm@Thekitchen.Com,
LA Gondola-Ashland,info@Lagondolachicago.Com,
Labonita Beauty Shop,info@Superpages.Com,
Balvanera,info@Balvaneranyc.Com,
Balvanera,Fernando@Balvaneranyc.Com,
Last Call Lounge,sales@Chamberofcommerce.Com,
Lino's,info@Linosrockford.Com,
Maple N Jams Cafe,info@Maplenjams.Com,
Merichka's Restaurant,info@Merichkas.Com,
Mutiny Corp,info@Themutinychicago.Com,
Nando Milano Trattoria,Dario@Nandomilano.Com,
Tack Room Bar & Restaurant,contact@Tackroombarrestaurant.Com,
Tack Room Bar & Restaurant,Barbara@Tackroombarrestaurant.Com,
Taco Surf,contact@Tacosurf.Com,
Battery Gardens,Paul@Batterygardens.Com,
Tanto Japanese Restaurant,info@Tantojapaneserestaurant.Com,
Dianne's Old Time Barbeque,info@Diannesoldtimebbq.Com,
Dianne's Old Time Barbeque,Dianne@Diannesoldtimebbq.Com,
Drift Hotel,manager@Thedrifthotel.Com,
Olive Black Martini Lounge,Charlie@Oliveblacklounge.Com,
Opart Thai House Restaurant,info@Opartthai.Com,
Other Side,info@Otherside.Org,
El Santo Coyote,info@Elsantocoyote.Com,
Escargot 41,Stoyan@Escargot41.Com,
Eurobread Inc,info@Firstharvest.Us,
Evie's Pizzeria,info@Eviesonline.Com,
Big John's Pizza Brew,info@Bigjohnspizzamenu.Com,
Black Sheep Ale House,info@Blacksheepalehouse.Com,
Boulton & Watt,info@Boultonandwattnyc.Com,
Boulton & Watt,Darin@Boultonandwattnyc.Com,
Buffalo Best Grill,Tony@Buffalosbestgrill.Com,
Extreme Juice,info@Xtremejuice.Com,
Fishack,info@Fishackvero.Com,
